 -.8639999926E+02 0.1494031054E-60 0.4663134012E-61 0.1565112449E-60
 -.8620000035E+02 0.3036798661E-60 0.1151611754E-60 0.3247823231E-60
 -.8599999994E+02 0.6136699768E-60 0.2758109081E-60 0.6728019749E-60
 -.8579999954E+02 0.1232607673E-59 0.6453483813E-60 0.1391328936E-59
 -.8560000062E+02 0.2460213363E-59 0.1482253157E-59 0.2872233315E-59
 -.8540000021E+02 0.4877970180E-59 0.3352805072E-59 0.5919112681E-59
 -.8519999981E+02 0.9604002443E-59 0.7486144176E-59 0.1217699542E-58
 -.8499999940E+02 0.1876722485E-58 0.1652771747E-58 0.2500748235E-58
 -.8480000049E+02 0.3637633025E-58 0.3612703632E-58 0.5126792522E-58
 -.8460000008E+02 0.6988401234E-58 0.7826160474E-58 0.1049221328E-57
 -.8439999968E+02 0.1329401545E-57 0.1681517263E-57 0.2143550506E-57
 -.8419999927E+02 0.2500979897E-57 0.3585583483E-57 0.4371648358E-57
 -.8400000036E+02 0.4645394919E-57 0.7591733055E-57 0.8900230600E-57
 -.8379999995E+02 0.8500076151E-57 0.1596686966E-56 0.1808845547E-56
 -.8359999955E+02 0.1527404881E-56 0.3336864020E-56 0.3669826584E-56
 -.8340000063E+02 0.2683129142E-56 0.6931262906E-56 0.7432468464E-56
 -.8320000023E+02 0.4575628113E-56 0.1431312199E-55 0.1502670402E-55
 -.8299999982E+02 0.7488028246E-56 0.2938858602E-55 0.3032753791E-55
 -.8279999942E+02 0.1151303398E-55 0.6000718672E-55 0.6110165635E-55
 -.8260000050E+02 0.1588538482E-55 0.1218573406E-54 0.1228883920E-54
 -.8240000010E+02 0.1718309740E-55 0.2461243660E-54 0.2467234532E-54
 -.8219999969E+02 0.4832846741E-56 0.4944593541E-54 0.4944829717E-54
 -.8199999928E+02 -.4959736053E-55 0.9880678460E-54 0.9893118651E-54
 -.8180000037E+02 -.2170675976E-54 0.1963898179E-53 0.1975857889E-53
 -.8159999996E+02 -.6664980102E-54 0.3882501935E-53 0.3939294464E-53
 -.8139999956E+02 -.1786890566E-53 0.7633743539E-53 0.7840090453E-53
 -.8120000064E+02 -.4452063941E-53 0.1492645444E-52 0.1557626128E-52
 -.8100000024E+02 -.1058677684E-52 0.2902118663E-52 0.3089189404E-52
 -.8079999983E+02 -.2436317278E-52 0.5609752765E-52 0.6115960102E-52
 -.8059999943E+02 -.5470318095E-52 0.1077841924E-51 0.1208712958E-51
 -.8040000051E+02 -.1204637033E-51 0.2057979014E-51 0.2384623241E-51
 -.8020000011E+02 -.2610896963E-51 0.3903622817E-51 0.4696280874E-51
