 -.1000000000E+01 0.3592749653E+02 -.2318117832E+00
 -.2000000000E+01 0.5443161571E+02 -.2635124070E+00
 -.3000000000E+01 0.6488546836E+02 -.2277072641E+00
 -.4000000000E+01 0.7139831342E+02 -.1688914483E+00
 -.5000000000E+01 0.7584252327E+02 -.1019851534E+00
 -.6000000000E+01 0.7911268719E+02 -.3217829306E-01
 -.7000000000E+01 0.8166086814E+02 0.3846102011E-01
 -.8000000000E+01 0.8373030872E+02 0.1088355621E+00
 -.9000000000E+01 0.8546082737E+02 0.1781412019E+00
 -.1000000000E+02 0.8693820141E+02 0.2456645408E+00
 -.1100000000E+02 0.8821833778E+02 0.3107292375E+00
 -.1200000000E+02 0.8933968326E+02 0.3726867417E+00
 -.1300000000E+02 0.9032992297E+02 0.4309192822E+00
 -.1400000000E+02 0.9120978051E+02 0.4848456574E+00
 -.1500000000E+02 0.9199527870E+02 0.5339272388E+00
 -.1600000000E+02 0.9269914431E+02 0.5776735495E+00
 -.1700000000E+02 0.9333171580E+02 0.6156472842E+00
 -.1800000000E+02 0.9390155052E+02 0.6474687401E+00
 -.1900000000E+02 0.9441584341E+02 0.6728196420E+00
 -.2000000000E+02 0.9488072371E+02 0.6914463376E+00
 -.2100000000E+02 0.9530147027E+02 0.7031623408E+00
 -.2200000000E+02 0.9568267130E+02 0.7078502017E+00
 -.2300000000E+02 0.9602834532E+02 0.7054626857E+00
 -.2400000000E+02 0.9634203439E+02 0.6960232502E+00
 -.2500000000E+02 0.9662687721E+02 0.6796258166E+00
 -.2600000000E+02 0.9688566743E+02 0.6564338364E+00
 -.2700000000E+02 0.9712090073E+02 0.6266786646E+00
 -.2800000000E+02 0.9733481350E+02 0.5906572538E+00
 -.2900000000E+02 0.9752941484E+02 0.5487291924E+00
 -.3000000000E+02 0.9770651360E+02 0.5013131182E+00
 -.3100000000E+02 0.9786774112E+02 0.4488825410E+00
 -.3200000000E+02 0.9801457089E+02 0.3919611166E+00
 -.3300000000E+02 0.9814833541E+02 0.3311174199E+00
 -.3400000000E+02 0.9827024092E+02 0.2669592689E+00
 -.3500000000E+02 0.9838138027E+02 0.2001276554E+00
 -.3600000000E+02 0.9848274430E+02 0.1312903446E+00
 -.3700000000E+02 0.9857523184E+02 0.6113520591E-01
 -.3800000000E+02 0.9865965867E+02 -.9636657319E-02
 -.3900000000E+02 0.9873676546E+02 -.8031791142E-01
 -.4000000000E+02 0.9880722495E+02 -.1502020587E+00
 -.4100000000E+02 0.9887164828E+02 -.2185904964E+00
 -.4200000000E+02 0.9893059081E+02 -.2847994976E+00
 -.4300000000E+02 0.9898455725E+02 -.3481670441E+00
 -.4400000000E+02 0.9903400639E+02 -.4080594438E+00
 -.4500000000E+02 0.9907935530E+02 -.4638776650E+00
 -.4600000000E+02 0.9912098315E+02 -.5150633267E+00
 -.4700000000E+02 0.9915923470E+02 -.5611042820E+00
 -.4800000000E+02 0.9919442343E+02 -.6015397413E+00
 -.4900000000E+02 0.9922683441E+02 -.6359648829E+00
 -.5000000000E+02 0.9925672684E+02 -.6640349051E+00
 -.5100000000E+02 0.9928433646E+02 -.6854684791E+00
 -.5200000000E+02 0.9930987761E+02 -.7000505685E+00
 -.5300000000E+02 0.9933354525E+02 -.7076345869E+00
 -.5400000000E+02 0.9935551664E+02 -.7081438716E+00
 -.5500000000E+02 0.9937595300E+02 -.7015724597E+00
 -.5600000000E+02 0.9939500095E+02 -.6879851569E+00
 -.5700000000E+02 0.9941279381E+02 -.6675169006E+00
 -.5800000000E+02 0.9942945283E+02 -.6403714209E+00
 -.5900000000E+02 0.9944508825E+02 -.6068192155E+00
 -.6000000000E+02 0.9945980035E+02 -.5671948559E+00
 -.6100000000E+02 0.9947368030E+02 -.5218936538E+00
 -.6200000000E+02 0.9948681102E+02 -.4713677203E+00
 -.6300000000E+02 0.9949926789E+02 -.4161214561E+00
 -.6400000000E+02 0.9951111947E+02 -.3567065194E+00
 -.6500000000E+02 0.9952242810E+02 -.2937163205E+00
 -.6600000000E+02 0.9953325047E+02 -.2277800982E+00
 -.6700000000E+02 0.9954363812E+02 -.1595566374E+00
 -.6800000000E+02 0.9955363790E+02 -.8972769011E-01
 -.6900000000E+02 0.9956329244E+02 -.1899116659E-01
 -.7000000000E+02 0.9957264048E+02 0.5194583717E-01
 -.7100000000E+02 0.9958171724E+02 0.1223741042E+00
 -.7200000000E+02 0.9959055475E+02 0.1915893842E+00
 -.7300000000E+02 0.9959918212E+02 0.2588994324E+00
 -.7400000000E+02 0.9960762583E+02 0.3236309307E+00
 -.7500000000E+02 0.9961590995E+02 0.3851362196E+00
 -.7600000000E+02 0.9962405634E+02 0.4427997762E+00
 -.7700000000E+02 0.9963208491E+02 0.4960443719E+00
 -.7800000000E+02 0.9964001374E+02 0.5443368485E+00
 -.7900000000E+02 0.9964785924E+02 0.5871934552E+00
 -.8000000000E+02 0.9965563638E+02 0.6241846930E+00
 -.8100000000E+02 0.9966335872E+02 0.6549396181E+00
 -.8200000000E+02 0.9967103860E+02 0.6791495605E+00
 -.8300000000E+02 0.9967868725E+02 0.6965712220E+00
 -.8400000000E+02 0.9968631486E+02 0.7070291202E+00
 -.8500000000E+02 0.9969393069E+02 0.7104173573E+00
 -.8600000000E+02 0.9970154316E+02 0.7067006919E+00
 -.8700000000E+02 0.9970915992E+02 0.6959149065E+00
 -.8800000000E+02 0.9971678792E+02 0.6781664642E+00
 -.8900000000E+02 0.9972443348E+02 0.6536314600E+00
 -.9000000000E+02 0.9973210233E+02 0.6225538756E+00
